[   0] x=    0, y=  32767
[   1] x=    0, y=  11776
[   2] x= 30687, y=  11776
[   3] x= 30687, y=     0
[   4] x= 32767, y=     0
[   5] x= 32767, y= -13784
[   6] x= 29906, y= -13784
[   7] x= 29906, y= -32767
[   8] x=    0, y= -32767
[   9] x=    0, y= -13784
[  10] x=-29951, y= -13784
[  11] x=-29951, y=     0
[  12] x=-32767, y=     0
[  13] x=-32767, y=  11776
[  14] x=-30719, y=  11776
[  15] x=-30719, y=  32767
[  16] x=    0, y=  32767
[  17] x=    0, y=  11776
[  18] x= 30687, y=  11776
[  19] x= 30687, y=     0
[  20] x= 32767, y=     0
[  21] x= 32767, y= -13784
[  22] x= 29906, y= -13784
[  23] x= 29906, y=  32767
[  24] x=    0, y=  32767
[  25] x=    0, y=  11776
[  26] x= 30687, y=  11776
[  27] x= 30687, y=     0
[  28] x= 32767, y=     0
[  29] x= 32767, y= -13784
[  30] x= 29906, y= -13784
[  31] x= 29906, y= -32767
[  32] x=    0, y= -32767
[  33] x=    0, y= -13784
[  34] x=-29951, y= -13784
[  35] x=-29951, y=     0
[  36] x=-32767, y=     0
[  37] x=-32767, y=  11776
[  38] x=-30719, y=  11776
[  39] x=-30719, y=  32767
[  40] x=    0, y=  32767
[  41] x=    0, y=  11776
[  42] x= 30687, y=  11776
[  43] x= 30687, y=     0
[  44] x= 32767, y=     0
[  45] x= 32767, y= -13784
[  46] x= 29906, y= -13784
[  47] x= 29906, y= -32767
[  48] x=    0, y= -32767
[  49] x=    0, y= -13784
[  50] x=-29951, y= -13784
[  51] x=-29951, y=     0
[  52] x=-32767, y=     0
[  53] x=-32767, y=  11776
[  54] x=-30719, y=  11776
[  55] x=-30719, y=  32767
[  56] x=    0, y=  32767
[  57] x=    0, y=  11776
[  58] x= 30687, y=  11776
[  59] x= 30687, y=     0
[  60] x= 32767, y=     0
[  61] x= 32767, y= -13784
[  62] x= 29906, y= -13784
[  63] x= 29906, y= -32767
[  64] x=    0, y= -32767
[  65] x=    0, y= -13784
[  66] x=-29951, y= -13784
[  67] x=-29951, y=     0
[  68] x=-32767, y=     0
[  69] x=-32767, y=  11776
[  70] x=-30719, y=  11776
[  71] x=-30719, y=  32767
[  72] x=    0, y=  32767
[  73] x=    0, y=  11776
[  74] x= 30687, y=  11776
[  75] x= 30687, y=     0
[  76] x= 32767, y=     0
[  77] x= 32767, y= -13784
[  78] x= 29906, y= -13784
[  79] x= 29906, y= -32767
[  80] x=    0, y= -32767
[  81] x=    0, y= -13784
[  82] x=-29951, y= -13784
[  83] x=-29951, y=     0
[  84] x=-32767, y=     0
[  85] x=-32767, y=  11776
[  86] x=-30719, y=  11776
[  87] x=-30719, y=  32767
[  88] x=    0, y=  32767
[  89] x=    0, y=  11776
[  90] x= 30687, y=  11776
[  91] x= 30687, y=     0
[  92] x= 32767, y=     0
[  93] x= 32767, y= -13784
[  94] x= 29906, y= -13784
[  95] x= 29906, y= -32767
[  96] x=    0, y= -32767
[  97] x=    0, y= -13784
[  98] x=-29951, y= -13784
[  99] x=-29951, y=     0
[ 100] x=-32767, y=     0
[ 101] x=-32767, y=  11776
[ 102] x=-30719, y=  11776
[ 103] x=-30719, y=  32767
[ 104] x=    0, y=  32767
[ 105] x=    0, y=  11776
[ 106] x= 30687, y=  11776
[ 107] x= 30687, y=     0
[ 108] x= 32767, y=     0
[ 109] x= 32767, y= -13784
[ 110] x= 29906, y= -13784
[ 111] x= 29906, y= -32767
[ 112] x=    0, y= -32767
[ 113] x=    0, y= -13784
[ 114] x=-29951, y= -13784
[ 115] x=-29951, y=     0
[ 116] x=-32767, y=     0
[ 117] x=-32767, y=  11776
[ 118] x=-30719, y=  11776
[ 119] x=-30719, y=  32767
[ 120] x=    0, y=  32767
[ 121] x=    0, y=  11776
[ 122] x= 30687, y=  11776
[ 123] x= 30687, y=     0
[ 124] x= 32767, y=     0
[ 125] x= 32767, y= -13784
[ 126] x= 29906, y= -13784
[ 127] x= 29906, y= -32767
[ 128] x=    0, y= -32767
[ 129] x=    0, y= -13784
[ 130] x=-29951, y= -13784
[ 131] x=-29951, y=     0
[ 132] x=-32767, y=     0
[ 133] x=-32767, y=  11776
[ 134] x=-30719, y=  11776
[ 135] x=-30719, y=  32767
[ 136] x=    0, y=  32767
[ 137] x=    0, y=  11776
[ 138] x= 30687, y=  11776
[ 139] x= 30687, y=     0
[ 140] x= 32767, y=     0
[ 141] x= 32767, y= -13784
[ 142] x= 29906, y= -13784
[ 143] x= 29906, y= -32767
[ 144] x=    0, y= -32767
[ 145] x=    0, y= -13784
[ 146] x=-29951, y= -13784
[ 147] x=-29951, y=     0
[ 148] x=-32767, y=     0
[ 149] x=-32767, y=  11776
[ 150] x=-30719, y=  11776
[ 151] x=-30719, y=  32767
[ 152] x=    0, y=  32767
[ 153] x=    0, y=  11776
[ 154] x= 30687, y=  11776
[ 155] x= 30687, y=     0
[ 156] x= 32767, y=     0
[ 157] x= 32767, y= -13784
[ 158] x= 29906, y= -13784
[ 159] x= 29906, y= -32767
[ 160] x=    0, y= -32767
[ 161] x=    0, y= -13784
[ 162] x=-29951, y= -13784
[ 163] x=-29951, y=     0
[ 164] x=-32767, y=     0
[ 165] x=-32767, y=  11776
[ 166] x=-30719, y=  11776
[ 167] x=-30719, y=  32767
[ 168] x=    0, y=  32767
[ 169] x=    0, y=  11776
[ 170] x= 30687, y=  11776
[ 171] x= 30687, y=     0
[ 172] x= 32767, y=     0
[ 173] x= 32767, y= -13784
[ 174] x= 29906, y= -13784
[ 175] x= 29906, y= -32767
[ 176] x=    0, y= -32767
[ 177] x=    0, y= -13784
[ 178] x=-29951, y= -13784
[ 179] x=-29951, y=     0
[ 180] x=-32767, y=     0
[ 181] x=-32767, y=  11776
[ 182] x=-30719, y=  11776
[ 183] x=-30719, y=  32767
[ 184] x=    0, y=  32767
[ 185] x=    0, y=  11776
[ 186] x= 30687, y=  11776
[ 187] x= 30687, y=     0
[ 188] x= 32767, y=     0
[ 189] x= 32767, y= -13784
[ 190] x= 29906, y= -13784
[ 191] x= 29906, y= -32767
[ 192] x=    0, y= -32767
[ 193] x=    0, y= -13784
[ 194] x=-29951, y= -13784
[ 195] x=-29951, y=     0
[ 196] x=-32767, y=     0
[ 197] x=-32767, y=  11776
[ 198] x=-30719, y=  11776
[ 199] x=-30719, y=  32767
[ 200] x=    0, y=  32767
[ 201] x=    0, y=  11776
[ 202] x= 30687, y=  11776
[ 203] x= 30687, y=     0
[ 204] x= 32767, y=     0
[ 205] x= 32767, y= -13784
[ 206] x= 29906, y= -13784
[ 207] x= 29906, y= -32767
[ 208] x=    0, y= -32767
[ 209] x=    0, y= -13784
[ 210] x=-29951, y= -13784
[ 211] x=-29951, y=     0
[ 212] x=-32767, y=     0
[ 213] x=-32767, y=  11776
[ 214] x=-30719, y=  11776
[ 215] x=-30719, y=  32767
[ 216] x=    0, y=  32767
[ 217] x=    0, y=  11776
[ 218] x= 30687, y=  11776
[ 219] x= 30687, y=     0
[ 220] x= 32767, y=     0
[ 221] x= 32767, y= -13784
[ 222] x= 29906, y= -13784
[ 223] x= 29906, y= -32767
[ 224] x=    0, y= -32767
[ 225] x=    0, y= -13784
[ 226] x=-29951, y= -13784
[ 227] x=-29951, y=     0
[ 228] x=-32767, y=     0
[ 229] x=-32767, y=  11776
[ 230] x=-30719, y=  11776
[ 231] x=-30719, y=  32767
[ 232] x=    0, y=  32767
[ 233] x=    0, y=  11776
[ 234] x= 30687, y=  11776
[ 235] x= 30687, y=     0
[ 236] x= 32767, y=     0
[ 237] x= 32767, y= -13784
[ 238] x= 29906, y= -13784
[ 239] x= 29906, y= -32767
[ 240] x=    0, y= -32767
[ 241] x=    0, y= -13784
[ 242] x=-29951, y= -13784
[ 243] x=-29951, y=     0
[ 244] x=-32767, y=     0
[ 245] x=-32767, y=  11776
[ 246] x=-30719, y=  11776
[ 247] x=-30719, y=  32767
[ 248] x=    0, y=  32767
[ 249] x=    0, y=  11776
[ 250] x= 30687, y=  11776
[ 251] x= 30687, y=     0
[ 252] x= 32767, y=     0
[ 253] x= 32767, y= -13784
[ 254] x= 29906, y= -13784
[ 255] x= 29906, y= -32767
[ 256] x=    0, y= -32767
[ 257] x=    0, y= -13784
[ 258] x=-29951, y= -13784
[ 259] x=-29951, y=     0
[ 260] x=-32767, y=     0
[ 261] x=-32767, y=  11776
[ 262] x=-30719, y=  11776
[ 263] x=-30719, y=  32767
[ 264] x=    0, y=  32767
[ 265] x=    0, y=  11776
[ 266] x= 30687, y=  11776
[ 267] x= 30687, y=     0
[ 268] x= 32767, y=     0
